N;K;blocks;time;rate
8;5;93.33;44.064;2.33325
8;6;115.486666666667;72.297;2.40597222222223
8;7;137.253333333333;108.132;2.45095238095237
8;8;166.08;163.481;2.595
8;9;186.903333333333;222.977;2.59587962962962
8;10;209.416666666667;294.694;2.61770833333334
8;11;231.066666666667;372.985;2.62575757575758
8;12;258.526666666667;488.461;2.69298611111111
8;13;279.46;618.354;2.68711538461538
8;14;302.236666666667;740.178;2.69854166666667
8;15;331.806666666667;920.053;2.76505555555556
8;16;359.806666666667;852.105;2.81098958333334
8;17;380.83;1353.092;2.80022058823529
8;18;416.13;1627.205;2.88979166666667
8;19;436.51;1803.241;2.87177631578947
8;20;458.876666666667;1891.081;2.86797916666667
8;21;497.62;2580.031;2.96202380952381
8;22;517.85;2574.037;2.94232954545455
8;23;545.726666666667;3247.662;2.96590579710145
8;24;572.623333333333;3593.602;2.98241319444444
8;25;599.88;3234.768;2.9994
8;26;635.153333333333;1932.421;3.05362179487179
8;27;652.053333333333;2089.695;3.01876543209876
8;28;686.18;2457.844;3.06330357142857
8;29;692.406666666667;2594.397;2.98451149425287
8;30;732.09;2993.787;3.050375
8;31;745.416666666667;3191.911;3.0057123655914
8;32;783.57;3505.764;3.0608203125
9;2;37.06;2.36;2.05888888888889
9;3;58.6033333333333;6.087;2.17049382716049
9;4;84.99;14.379;2.36083333333333
9;5;109.653333333333;24.781;2.43674074074073
9;6;131.623333333333;40.415;2.43746913580246
9;7;161.02;61.706;2.55587301587302
9;8;183.41;89.123;2.54736111111111
9;9;209.126666666667;122.769;2.58181069958848
9;10;239.286666666667;169.89;2.65874074074074
9;11;270.546666666667;221.914;2.73279461279462
9;12;298.38;276.184;2.76277777777778
9;13;321.78;345.87;2.75025641025641
9;14;350.393333333333;429.447;2.78089947089947
9;15;379.873333333333;522.583;2.81387654320987
9;16;413.406666666667;658.391;2.87087962962963
9;17;435.19;754.57;2.84437908496732
9;18;471.266666666667;943.981;2.90905349794239
9;19;498.956666666667;1154.03;2.91787524366472
9;20;524.936666666667;1247.86;2.91631481481482
9;21;552.856666666667;1394.419;2.92516754850088
9;22;580.08;1652.726;2.92969696969697
9;23;622.506666666667;1871.964;3.00727858293076
9;24;643.716666666667;2123.568;2.98016975308642
9;25;666.656666666667;2364.791;2.96291851851852
9;26;709.316666666667;2701.677;3.03126780626781
9;27;726.856666666667;2957.663;2.99117969821674
9;28;765.216666666667;3834.606;3.03657407407408
9;29;804.793333333333;3767.541;3.08349936143039
9;30;821.793333333333;4802.263;3.04367901234568
9;31;881.93;4785.268;3.1610394265233
9;32;900.89;5183.811;3.12809027777778
10;2;42.52;3.067;2.126
10;3;65.8366666666667;8.153;2.19455555555556
10;4;93.8266666666667;18.478;2.34566666666667
10;5;121.35;34.251;2.427
10;6;150.946666666667;55.307;2.51577777777778
10;7;182.95;88.722;2.61357142857143
10;8;209.846666666667;128.33;2.62308333333334
10;9;241.316666666667;170.936;2.6812962962963
10;10;269.596666666667;234.052;2.69596666666667
10;11;301.926666666667;300.67;2.74478787878788
10;12;327.353333333333;378.497;2.72794444444444
10;13;362.81;491.84;2.79084615384615
10;14;400.92;633.961;2.86371428571429
10;15;426.686666666667;712.522;2.84457777777778
10;16;459.18;893.948;2.869875
10;17;491.55;1193.171;2.89147058823529
10;18;519.9;1230.393;2.88833333333333
10;19;558.476666666667;1516.336;2.93935087719298
10;20;588.043333333333;1864;2.94021666666666
10;21;613.75;1894.845;2.92261904761905
